ticker,10_0,10_1,122_0,122_1,152_0,152_1,182_0,182_1,273_0,273_1,30_0,30_1,365_0,365_1,547_0,547_1,60_0,60_1,730_0,730_1,91_0,91_1
A,,,0.3269065,0.332457,0.327531,0.331769,0.327694,0.3316735,0.326283,0.330839,0.34221749999999995,0.3502705,0.3239205,0.329401,0.3175655,0.32201250000000003,0.32394500000000004,0.33148350000000004,0.30765750000000003,0.310578,0.32512850000000004,0.3319345
AA,0.6344825000000001,0.6443525,0.6544895,0.6664015,0.6528179999999999,0.6644295,0.650694,0.6614009999999999,0.637768,0.6441950000000001,0.6452424999999999,0.6633755,0.6207389999999999,0.625147,0.610773,0.6148739999999999,0.6584485,0.6712024999999999,0.5830635,0.5846905,0.660908,0.6718455
AAL,0.47852300000000003,0.48906649999999996,0.5322945,0.545596,0.5296075,0.5386375,0.5296510000000001,0.5381005,0.527936,0.536489,0.505204,0.5172205,0.5261009999999999,0.531713,0.529775,0.533313,0.5241905,0.538637,0.5310585,0.5352589999999999,0.5312835,0.5472475
AAN,,,0.6643475,0.6170869999999999,0.627394,0.6132500000000001,0.572692,0.6060399999999999,,,0.626297,0.566656,,,,,0.6262380000000001,0.569383,,,0.6718135000000001,0.6172325000000001
AAOI,0.8667145,0.9222984999999999,0.8757079999999999,0.9222714999999999,0.919909,0.9222714999999999,0.9469624999999999,0.9222714999999999,,,0.8667145,0.922274,,,,,0.866718,0.9222725,,,0.8670804999999999,0.9222714999999999
AAP,,,0.36274300000000004,0.371783,0.3633245,0.37120200000000003,0.360794,0.3672905,0.3595875,0.36515200000000003,0.3787415,0.38359699999999997,0.35578350000000003,0.360609,,,0.3538165,0.365247,,,0.3565645,0.3677365
AAPL,0.3620365,0.3860945,0.3598205,0.36917900000000003,0.35783699999999996,0.36647450000000004,0.3571145,0.365388,0.352804,0.360484,0.3585465,0.37700500000000003,0.34577899999999995,0.353167,0.340345,0.34729049999999995,0.357632,0.37113050000000003,0.3349535,0.3421575,0.359776,0.37059200000000003
AAWW,,,0.075873,0.0803635,0.07994699999999999,0.0840365,0.0786875,0.0791115,0.071394,0.079999,0.0748335,0.1206795,0.076144,0.0835845,,,0.0766405,0.0977045,,,0.0715315,0.0759585
AAXJ,,,0.2327805,0.2430715,0.231315,0.242431,0.229209,0.2414645,,,0.38746400000000003,0.3548525,,,,,0.3788955,0.342989,,,0.23304249999999999,0.243107
AB,,,0.32521750000000005,0.322159,0.325148,0.322854,0.3266125,0.3231175,0.3095125,0.3189765,0.331225,0.329545,0.308748,0.31918599999999997,,,0.318781,0.3154975,,,0.3217685,0.3148125
ABB,,,0.29237199999999997,0.2974745,0.296609,0.301371,0.296589,0.300828,,,0.301928,0.29254199999999997,,,,,0.290849,0.2885225,,,0.291041,0.292845
ABBV,0.248138,0.2532555,0.2646415,0.270445,0.2675175,0.27361199999999997,0.2699055,0.2759255,0.271726,0.2776485,0.2496215,0.2544875,0.27323450000000005,0.2787895,0.2710715,0.275515,0.253541,0.256464,0.269564,0.27269750000000004,0.261172,0.2663315
