"","ticker","secid","gvkey","cusip","addzip","gind","gsector","gsubind","state","spcsrc","foreign","no_dur","durables","manuf","energy","chemical","bus_eq","telco","utilities","shops","health","finance","fama","sigma_term_m","sigma_term_bs","sigma_time_10","sigma_time_30","sigma_time_60","sigma_time_91","sigma_time_122","sigma_time_152","sigma_time_182","sigma_time_273","sigma_time_365","sigma_time_547","sigma_time_730","RI10_m","RI30_m","RI60_m","RI91_m","RI122_m","RI152_m","RI182_m","RI273_m","RI365_m","RI547_m","RI730_m","RI10_bs","RI30_bs","RI60_bs","RI91_bs","RI122_bs","RI152_bs","RI182_bs","RI273_bs","RI365_bs","RI547_bs","RI730_bs","AdRI10_m","AdRI30_m","AdRI60_m","AdRI91_m","AdRI122_m","AdRI152_m","AdRI182_m","AdRI273_m","AdRI365_m","AdRI547_m","AdRI730_m","AdRI10_bs","AdRI30_bs","AdRI60_bs","AdRI91_bs","AdRI122_bs","AdRI152_bs","AdRI182_bs","AdRI273_bs","AdRI365_bs","AdRI547_bs","AdRI730_bs"
"2800","PFBC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.04228179,0.3051183,NA,0.02966783,0.01705387,-0.0001708385,0.0007396155,0.007244086,0.01559109,NA,NA,NA,NA,NA,0.0004204653,0.0004204653,0.0004665124,0.0003405096,0.0002305112,0.0001466522,NA,NA,NA,NA,NA,0.009181683,0.004801074,0.003354826,0.002494907,0.001959699,0.001590809,NA,NA,NA,NA,NA,0.0004818693,0.0004818693,0.0005102831,0.0003771509,0.0002632906,0.0001748278,NA,NA,NA,NA,NA,0.009062444,0.004772157,0.003339044,0.002487128,0.001956825,0.001589208,NA,NA,NA,NA
"2801","PFC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.019885e-05,4.429561e-05,NA,-0.02970418,-0.05944856,-0.09139481,-0.2478591,-0.2368113,-0.2601954,NA,NA,NA,NA,NA,0.0009914793,0.0009914793,0.00100478,0.002031961,0.001558234,0.001429866,NA,NA,NA,NA,NA,0.0009916159,0.0009915476,0.001004825,0.002031995,0.001558261,0.001429888,NA,NA,NA,NA,NA,0.001052883,0.001052883,0.001048551,0.002068602,0.001591013,0.001458041,NA,NA,NA,NA,NA,0.0008723773,0.0009626303,0.0009890435,0.002024216,0.001555387,0.001428288,NA,NA,NA,NA
"2802","PFM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-6.519259e-06,0.00330312,NA,0.002630428,0.005267375,0.008386981,0.005208027,0.007278465,0.008429184,NA,NA,NA,NA,NA,-8.789824e-05,-8.789824e-05,-9.223626e-05,-4.274219e-05,-4.792753e-05,-4.635002e-05,NA,NA,NA,NA,NA,2.242306e-05,-3.273759e-05,-5.58666e-05,-1.5614e-05,-2.615359e-05,-2.816519e-05,NA,NA,NA,NA,NA,2.649425e-05,2.649425e-05,4.84656e-05,6.10096e-06,1.514818e-05,1.81744e-05,NA,NA,NA,NA,NA,9.681551e-05,6.165488e-05,7.164843e-05,2.339307e-05,2.902738e-05,2.976581e-05,NA,NA,NA,NA
"2803","PGF",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.01995111,0.00201006,NA,-0.01202514,-0.004099166,0.005025707,0.005060827,0.001612357,-0.001430286,NA,NA,NA,NA,NA,-0.0002641991,-0.0002641991,-0.0002744706,-0.0002050159,-0.0001418649,-0.0001017628,NA,NA,NA,NA,NA,0.00046784,0.0001018204,-3.313898e-05,-2.500629e-05,2.616464e-06,1.8903e-05,NA,NA,NA,NA,NA,0.0002027951,0.0002027951,0.0002306999,0.0001683747,0.0001090856,7.358718e-05,NA,NA,NA,NA,NA,0.0003486014,7.290315e-05,4.892081e-05,3.278536e-05,2.573284e-07,1.730237e-05,NA,NA,NA,NA
"2804","PGJ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.002913327,0.001099228,NA,-0.000542344,0.001828639,0.006426584,0.008228204,0.00912726,0.008892952,NA,NA,NA,NA,NA,-7.903278e-05,-7.903278e-05,-0.0001026364,-9.132403e-05,-7.921439e-05,-6.486966e-05,NA,NA,NA,NA,NA,5.471905e-05,-1.215687e-05,-5.854237e-05,-5.843424e-05,-5.2816e-05,-4.282266e-05,NA,NA,NA,NA,NA,1.76288e-05,1.76288e-05,5.886572e-05,5.468281e-05,4.643505e-05,3.669404e-05,NA,NA,NA,NA,NA,6.451952e-05,4.107416e-05,7.43242e-05,6.621331e-05,5.568979e-05,4.442328e-05,NA,NA,NA,NA
"2805","PGX",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.0113726,-0.01178064,NA,0.01160206,0.03457672,0.001381381,0.0003676266,0.0004158582,0.0004492284,NA,NA,NA,NA,NA,-0.0007658219,-0.0007658219,-0.0001401536,-9.623133e-05,-7.755561e-05,-6.495507e-05,NA,NA,NA,NA,NA,-0.0007794234,-0.0007726226,-0.0001446376,-9.957594e-05,-8.024011e-05,-6.719707e-05,NA,NA,NA,NA,NA,0.0007044179,0.0007044179,9.638292e-05,5.95901e-05,4.477627e-05,3.677945e-05,NA,NA,NA,NA,NA,0.0008986619,0.0008015399,0.0001604194,0.000107355,8.31139e-05,6.87977e-05,NA,NA,NA,NA
"2806","PHASQ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0009516168,0.009525912,NA,0.01504522,0.02913883,0.05352341,0.06933789,0.0180964,-0.02083006,NA,NA,NA,NA,NA,-0.0004697868,-0.0004697868,-0.000577712,-0.0005605432,-0.0001127946,0.0001196796,NA,NA,NA,NA,NA,-0.000183977,-0.0003268819,-0.000483489,-0.0004902621,-5.638476e-05,0.0001667911,NA,NA,NA,NA,NA,0.0004083828,0.0004083828,0.0005339413,0.000523902,8.001526e-05,0.0001478552,NA,NA,NA,NA,NA,0.0003032155,0.0003557992,0.0004992708,0.0004980412,5.925856e-05,0.0001651904,NA,NA,NA,NA
"2807","PHO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0005275274,0.000634628,NA,0.002207021,0.003886515,0.007723039,0.009837342,0.01011799,0.007671211,NA,NA,NA,NA,NA,-5.598313e-05,-5.598313e-05,-7.907155e-05,-7.630996e-05,-6.309515e-05,-3.925101e-05,NA,NA,NA,NA,NA,-5.241311e-05,-5.419812e-05,-7.789463e-05,-7.543208e-05,-6.239054e-05,-3.866254e-05,NA,NA,NA,NA,NA,5.420855e-06,5.420855e-06,3.530089e-05,3.966873e-05,3.03158e-05,1.107539e-05,NA,NA,NA,NA,NA,0.0001716517,8.311541e-05,9.367645e-05,8.321116e-05,6.526433e-05,4.026317e-05,NA,NA,NA,NA
"2808","PID",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.009354687,0.01357184,NA,-0.001617268,-0.01258922,0.02188845,0.03840545,0.05541915,0.06789672,NA,NA,NA,NA,NA,0.0003657318,0.0003657318,-0.0001377336,-0.000238121,-0.0003030557,-0.0003216595,NA,NA,NA,NA,NA,0.0005063037,0.0004360178,-9.139124e-05,-0.0002035542,-0.0002753112,-0.0002984883,NA,NA,NA,NA,NA,0.0004271358,0.0004271358,9.396295e-05,0.0002014798,0.0002702763,0.0002934839,NA,NA,NA,NA,NA,0.0003870651,0.0004071005,0.0001071731,0.0002113333,0.000278185,0.000300089,NA,NA,NA,NA
"2809","PIN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.0004442254,-0.0001621948,NA,0.001877835,0.004199895,-0.007487141,-0.0105148,-0.01148865,-0.00996398,NA,NA,NA,NA,NA,-7.740201e-05,-7.740201e-05,7.739467e-05,8.254567e-05,7.266069e-05,5.230634e-05,NA,NA,NA,NA,NA,-6.800099e-05,-7.27015e-05,8.049391e-05,8.48574e-05,7.451615e-05,5.385596e-05,NA,NA,NA,NA,NA,1.599802e-05,1.599802e-05,0.0001211653,0.0001191869,0.00010544,8.048196e-05,NA,NA,NA,NA,NA,0.0001872396,0.0001016188,6.471208e-05,7.707832e-05,7.164236e-05,5.225534e-05,NA,NA,NA,NA
